,exploreLink
0,/trends/explore?q=UAS)+dideportasi+dari+Singapura&date=now+7-d&geo=ID
1,/trends/explore?q=PPDB&date=now+7-d&geo=ID
2,/trends/explore?q=Tomorrow&date=now+7-d&geo=ID
3,/trends/explore?q=Sampdoria+vs+Fiorentina&date=now+7-d&geo=ID
4,/trends/explore?q=Southampton+vs+Liverpool&date=now+7-d&geo=ID
5,/trends/explore?q=Allo+Bank&date=now+7-d&geo=ID
6,/trends/explore?q=Masker&date=now+7-d&geo=ID
7,/trends/explore?q=Theo+Hernandez&date=now+7-d&geo=ID
8,/trends/explore?q=Putri+Delina&date=now+7-d&geo=ID
9,/trends/explore?q=Sewu+Dino&date=now+7-d&geo=ID
10,/trends/explore?q=Hari+Buku+Nasional&date=now+7-d&geo=ID
11,/trends/explore?q=Asmaul+Husna+dan+artinya&date=now+7-d&geo=ID
12,/trends/explore?q=Event&date=now+7-d&geo=ID
13,/trends/explore?q=Apex+Legends+Mobile&date=now+7-d&geo=ID
14,/trends/explore?q=Hari+Buku+Nasional+2022&date=now+7-d&geo=ID
15,/trends/explore?q=Putri+Kusuma+Wardani&date=now+7-d&geo=ID
