date,facebook,instagram,twitter,tiktok,isPartial
2021-05-23,28,22,22,63,False
2021-05-30,28,20,21,60,False
2021-06-06,27,19,21,60,False
2021-06-13,28,20,21,65,False
2021-06-20,28,23,21,67,False
2021-06-27,26,21,22,69,False
2021-07-04,27,23,23,72,False
2021-07-11,27,23,22,72,False
2021-07-18,27,22,22,74,False
2021-07-25,26,21,21,65,False
2021-08-01,24,21,21,64,False
2021-08-08,26,22,20,69,False
2021-08-15,25,21,21,66,False
2021-08-22,24,21,21,64,False
2021-08-29,24,21,18,68,False
2021-09-05,23,19,18,71,False
2021-09-12,23,19,18,68,False
2021-09-19,23,19,18,68,False
2021-09-26,22,19,18,71,False
2021-10-03,25,21,18,75,False
2021-10-10,23,21,18,78,False
2021-10-17,24,22,20,80,False
2021-10-24,23,20,19,71,False
2021-10-31,22,19,18,72,False
2021-11-07,23,20,18,71,False
2021-11-14,23,21,19,76,False
2021-11-21,22,20,19,79,False
2021-11-28,21,18,18,72,False
2021-12-05,22,21,19,72,False
2021-12-12,24,22,20,80,False
2021-12-19,25,22,19,85,False
2021-12-26,25,24,19,93,False
2022-01-02,24,21,19,88,False
2022-01-09,23,20,20,80,False
2022-01-16,22,19,19,79,False
2022-01-23,22,20,18,76,False
2022-01-30,23,20,18,80,False
2022-02-06,22,20,18,82,False
2022-02-13,22,19,17,82,False
2022-02-20,22,19,17,82,False
2022-02-27,23,20,20,89,False
2022-03-06,22,19,18,84,False
2022-03-13,21,18,16,77,False
2022-03-20,22,19,17,80,False
2022-03-27,21,19,17,82,False
2022-04-03,20,20,14,83,False
2022-04-10,23,19,17,84,False
2022-04-17,22,19,16,84,False
2022-04-24,22,20,18,99,False
2022-05-01,24,21,21,100,False
2022-05-08,22,20,18,91,False
2022-05-15,0,0,0,0,True
